Umur;BB Ideal (L);PB Ideal (L);BB Ideal (P);PB Ideal (P)
0;2.5 - 3.9;46.1 - 51.8;2.4 - 3.7;45.4 - 51.0
1;3.4 - 5.1;50.8 - 56.7;3.2 - 4.8;49.8 - 55.6
2;4.3 - 6.3;54.4 - 60.4;3.9 - 5.8;53.0 - 59.1
3;5.0 - 7.2;57.3 - 63.5;4.5 - 6.6;55.6 - 61.9
4;5.6 - 7.8;59.7 - 66.0;5.0 - 7.3;57.8 - 64.3
5;6.0 - 8.4;61.7 - 68.0;5.4 - 7.8;59.6 - 66.2
6;6.4 - 8.8;63.3 - 69.8;5.7 - 8.2;61.2 - 68.0
7;6.7 - 9.2;64.8 - 71.3;6.0 - 8.6;62.7 - 69.6
8;6.9 - 9.6;66.2 - 72.8;6.3 - 9.0;64.0 - 71.1
9;7.1 - 9.9;67.5 - 74.2;6.5 - 9.3;65.3 - 72.6
10;7.4 - 10.2;68.7 - 75.6;6.7 - 9.6;66.5 - 73.9
11;7.6 - 10.5;69.9 - 76.9;6.9 - 9.9;67.7 - 75.3
12;7.7 - 10.8;71.0 - 78.1;7.0 - 10.1;68.9 - 76.6
13;7.9 - 11.0;72.1 - 79.3;7.2 - 10.4;70.0 - 77.8
14;8.1 - 11.3;73.1 - 80.5;7.4 - 10.6;71.0 - 79.1
15;8.3 - 11.5;74.1 - 81.7;7.6 - 10.9;72.0 - 80.2
16;8.4 - 11.7;75.0 - 82.8;7.7 - 11.1;73.0 - 81.4
17;8.6 - 12.0;76.0 - 83.9;7.9 - 11.4;74.0 - 82.5
18;8.8 - 12.2;76.9 - 85.0;8.1 - 11.6;74.9 - 83.6
19;8.9 - 12.5;77.7 - 86.0;8.2 - 11.8;75.8 - 84.7
20;9.1 - 12.7;78.6 - 87.0;8.4 - 12.1;76.7 - 85.7
21;9.2 - 12.9;79.4 - 88.0;8.6 - 12.3;77.5 - 86.7
22;9.4 - 13.2;80.2 - 89.0;8.7 - 12.5;78.4 - 87.7
23;9.5 - 13.4;81.0 - 89.9;8.9 - 12.8;79.2 - 88.7
24;9.7 - 13.6;81.7 - 90.9;9.0 - 13.0;80.0 - 89.6
